영화명,개봉일,스크린수,상영횟수,순위,관객수,최종관객
러브 라이즈 블리딩,2024-07-10,133,371,6,5182,12709
극장판 도라에몽: 진구의 지구 교향곡,2024-07-10,197,367,7,4681,80829
박정희: 경제대국을 꿈꾼 남자,2024-07-10,230,340,8,1865,3707
우마무스메 프리티 더비 새로운 시대의 문,2024-07-11,127,304,5,6421,46507
탈출: 프로젝트 사일런스,2024-07-12,1078,4983,1,100184,681789
플라이 미 투 더 문,2024-07-12,306,709,6,8599,33283
명탐정 코난: 100만 달러의 펜타그램,2024-07-17,1089,4458,1,110102,707842
이매큘레이트,2024-07-17,191,264,7,3519,17665
그리고 바통은 넘겨졌다,2024-07-17,108,180,8,2266,2528
2023 영탁 단독 콘서트 : 탁쇼2,2024-07-18,86,159,7,8679,25607
데드풀과 울버린,2024-07-24,1936,8234,1,230124,1962077
슈퍼배드 4,2024-07-24,1031,3989,2,73339,1539379
이준호 콘서트 : 다시 만나는 날,2024-07-24,56,105,8,4327,4327
파일럿,2024-07-31,1827,8735,1,373859,4710803
헬로카봇 올스타 스페셜,2024-07-31,221,363,7,7756,32355
사랑의 하츄핑,2024-08-07,1065,2671,2,57473,1222520
리볼버,2024-08-07,861,2620,3,56016,223135
극장총집편 봇치 더 록! 전편,2024-08-07,176,443,7,11565,45340
에이리언: 로물루스,2024-08-14,1108,2839,1,95354,1998630
행복의 나라,2024-08-14,1096,4463,3,78391,696518
트위스터스,2024-08-14,798,2026,4,38801,615325
빅토리,2024-08-14,776,2786,5,36258,503486
세븐틴 투어 ‘팔로우’ 어게인 투 시네마,2024-08-14,102,211,6,14592,54811
10 라이브즈,2024-08-15,191,319,10,11153,25700
늘봄가든,2024-08-21,638,1477,3,33542,375009
필사의 추격,2024-08-21,623,1547,4,20564,95325
극장판 블루 록 -에피소드 나기-,2024-08-21,276,581,7,9847,100110
임영웅│아임 히어로 더 스타디움,2024-08-28,224,1103,2,49718,350215
한국이 싫어서,2024-08-28,588,1302,8,11800,46298
이매지너리 ,2024-08-28,218,486,10,6410,7233
"안녕, 할부지",2024-09-04,1021,3251,1,39555,250528
비틀쥬스 비틀쥬스,2024-09-04,787,2509,2,21784,100701
레드불 T1 다큐멘터리 : 함께 날아오르다,2024-09-04,46,87,8,5022,5022
룩백,2024-09-05,184,916,2,16206,322586
코마다 위스키 패밀리,2024-09-05,150,237,10,3084,3390
스픽 노 이블,2024-09-11,552,1704,5,7405,37026
캐시 아웃,2024-09-12,185,314,9,4511,4984
베테랑2,2024-09-13,2682,13450,1,497498,7514196
우리가 끝이야,2024-09-13,154,285,5,3566,3566
오지: 사라진 숲을 찾아서,2024-09-13,141,232,10,1968,46784
브레드이발소: 빵스타의 탄생,2024-09-14,400,958,2,27048,262251
정국: 아이 엠 스틸,2024-09-18,94,380,5,11867,40763
트랜스포머 ONE,2024-09-25,951,3095,2,24008,352261
 극장총집편 봇치 더 록! 후편,2024-09-25,173,368,6,4787,24625
더 커버넌트,2024-09-27,230,357,4,6012,41568
조커: 폴리 아 되,2024-10-01,1385,5368,1,166506,607550
와일드 로봇,2024-10-01,819,2311,3,53494,679109
대도시의 사랑법,2024-10-01,850,2880,4,52696,875383
"극장판 엉덩이 탐정: 안녕, 나의 영원한 친구",2024-10-01,263,601,6,12993,35874
명탐정 코난: 시한장치의 마천루,2024-10-02,551,1257,4,11802,82745
너의 색,2024-10-12,269,938,6,10913,23395
보통의 가족,2024-10-16,1277,4714,1,42429,643746
6시간 후 너는 죽는다,2024-10-16,252,547,4,11612,50512
스마일 2,2024-10-16,549,1204,5,8137,52585
"하이라이트: 라이츠 고 온, 어게인 인 시네마",2024-10-16,86,237,8,5289,5289
엘리자벳: 더 뮤지컬 라이브,2024-10-16,18,72,10,2659,30447
더러운 돈에 손대지 마라,2024-10-17,796,2302,2,15711,81253
베놈: 라스트 댄스,2024-10-23,1656,7484,1,127645,1759962
오후 네시,2024-10-23,230,321,5,3357,36138
세상 참 예쁜 오드리,2024-10-24,172,207,6,2966,3537
아마존 활명수,2024-10-30,1479,6095,1,88302,603874
롱레그스,2024-10-30,224,425,6,7433,33726
4분 44초,2024-11-01,185,480,6,6562,43216
청설,2024-11-06,1046,3976,1,37142,795135
레드 원,2024-11-06,574,1168,4,8687,52460
데드라인,2024-11-06,184,365,5,5755,40209
아노라,2024-11-06,311,492,8,3710,68992
아메바 소녀들과 학교괴담: 개교기념일,2024-11-06,203,410,9,3002,17560
글래디에이터 Ⅱ,2024-11-13,1769,6252,1,72025,901333
"괜찮아, 앨리스",2024-11-13,99,107,5,6229,10487
4월이 되면 그녀는,2024-11-13,122,255,7,3720,8009
연소일기,2024-11-13,288,408,8,3633,21433
사흘,2024-11-14,836,3328,2,45957,197965
극장판 오버로드 성왕국편,2024-11-14,78,115,7,2040,2040
위키드,2024-11-20,1663,5327,1,84925,2280997
히든페이스,2024-11-20,834,2569,2,48075,1005171
나의 히어로 아카데미아 더 무비: 유어 넥스트,2024-11-20,170,290,5,10077,66726
모아나 2,2024-11-27,1779,7256,1,196876,3526383
백현: 론스달라이트 닷 인 시네마,2024-11-27,77,145,8,1771,5987
여름날의 레몬그라스,2024-11-27,72,94,9,1668,12162
에드워드 호퍼,2024-11-27,111,137,10,1422,7311
나 혼자만 레벨업 -리어웨이크닝- ,2024-11-28,100,194,8,1955,6125
소방관,2024-12-04,983,3335,1,81673,3836189
1승,2024-12-04,995,3227,3,46362,313518
"플레이브 팬 콘서트 ‘헬로, 아스테룸!’ 앙코르 인 시네마",2024-12-04,62,178,6,12232,20397
원정빌라,2024-12-04,164,277,9,2421,14179
"알엠: 라이트 피플, 롱 플레이스",2024-12-05,56,116,8,2147,2289
대가족,2024-12-11,939,3076,3,35078,324530
서브스턴스,2024-12-11,372,549,5,9911,552214
더 크로우,2024-12-11,200,329,9,5233,5423
퍼스트레이디,2024-12-12,54,74,8,4822,69175
무파사: 라이온 킹,2024-12-18,1243,4198,2,44985,833832
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,690,1768,3,34975,786770
정동원 성탄총동원 더 무비,2024-12-18,59,112,8,6496,6496
하얼빈,2024-12-24,2115,10143,1,381521,4900863
니코: 오로라 원정대의 모험,2024-12-25,393,608,7,23797,48816
보고타: 마지막 기회의 땅,2024-12-31,1029,3876,2,97289,405572
시빌 워: 분열의 시대,2024-12-31,662,1546,4,22039,88382
수퍼 소닉3,2025-01-01,766,1530,4,75916,339618
뽀로로 극장판 바닷속 대모험,2025-01-01,731,1348,5,58882,428486
동화지만 청불입니다,2025-01-08,645,2121,2,20410,164164
페라리,2025-01-08,562,1313,4,10489,20833
데드데드 데몬즈 디디디디 디스트럭션: 파트1,2025-01-08,375,663,7,5620,7025
폭락,2025-01-15,376,652,5,4675,11802
노스페라투,2025-01-15,362,629,8,3822,4948
히트맨2,2025-01-22,1375,5598,1,100621,2535747
극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,575,1383,3,12329,168709
고스트캣 앙주,2025-01-22,129,268,7,2285,4161
꼬마 판다 팡의 아프리카 대모험,2025-01-22,159,246,10,1729,29036
검은 수녀들,2025-01-24,1662,7298,1,163727,1657383
아이유 콘서트 : 더 위닝,2025-01-24,99,331,3,12500,72861
귀신경찰,2025-01-24,378,784,5,6049,52612
말할 수 없는 비밀,2025-01-27,864,3246,3,50389,811097
바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지방 대작전,2025-01-27,190,374,7,7030,40070
브로큰,2025-02-05,805,3267,1,42561,184882
데드데드 데몬즈 디디디디 디스트럭션: 파트2,2025-02-05,220,317,8,2124,3045
"레드벨벳 해피니스 다이어리 : 마이 디어, 레베럽 인 시네마",2025-02-05,72,154,10,1791,4617
영화 러브 라이브! 니지가사키 학원 스쿨 아이돌 동호회 완결편 제1장,2025-02-06,110,213,9,1620,1703
캡틴 아메리카: 브레이브 뉴 월드,2025-02-12,1766,7937,1,123237,1652658
브루탈리스트,2025-02-12,302,471,5,4952,72639
명탐정 코난: 14번째 표적,2025-02-14,557,1239,3,15480,71897
엘리: 몬스터 패밀리,2025-02-14,273,310,7,4324,34012
패딩턴: 페루에 가다!,2025-02-19,146,563,4,7501,119057
써니데이,2025-02-19,349,689,6,4145,7676
영화 이상한 과자 가게 전천당,2025-02-19,198,392,8,3941,48745
히어 ,2025-02-19,144,453,9,3227,3801
퇴마록,2025-02-21,773,2573,2,26501,490404
"그 시절, 우리가 좋아했던 소녀",2025-02-21,660,2341,3,23304,158879
괜찮아 괜찮아 괜찮아! ,2025-02-26,581,1427,3,13737,105060
이찬원 콘서트 찬가: 디어 마이 찬스,2025-02-26,82,184,4,12708,47690
컴플리트 언노운,2025-02-26,455,917,6,11096,54083
첫 번째 키스,2025-02-26,184,525,8,6199,46376
백수아파트,2025-02-26,456,922,9,6130,32784
힘내라 대한민국,2025-02-27,93,186,9,4099,65494
미키 17,2025-02-28,2151,8758,1,248047,3002495
콘클라베,2025-03-05,566,1081,2,10796,314141
보더랜드,2025-03-05,209,388,7,2371,2371
침범,2025-03-12,527,1424,2,10513,83767
노보케인,2025-03-12,514,1046,4,7200,27898
에밀리아 페레즈,2025-03-12,365,517,6,4489,24727
화이트 버드,2025-03-12,194,335,8,3326,13570
제로베이스원 더 퍼스트 투어 [타임리스 월드] 인 시네마,2025-03-12,68,157,10,1445,1445
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,335,904,2,37674,1030432
백설공주,2025-03-19,1043,3335,2,23047,186475
고독한 미식가 더 무비,2025-03-19,575,1083,4,10235,82288
플로우,2025-03-19,565,890,5,8127,173558
악령: 깨어난 시체,2025-03-19,254,443,6,7730,32961
스트리밍,2025-03-21,819,2856,1,31524,97933
승부,2025-03-26,1638,6650,1,91471,2127984
라스트 마일,2025-03-26,148,362,6,4031,49141
로비,2025-04-02,1013,3644,2,37163,257757
헤레틱,2025-04-02,150,500,4,5539,29400
기동전사 건담 지쿠악스 비기닝,2025-04-02,174,427,6,3325,35212
세븐틴 [라잇 히어] 월드 투어 인 시네마,2025-04-02,96,296,7,3166,14728
공포특급,2025-04-02,164,276,9,2041,12420
미스터 로봇,2025-04-04,388,645,4,5113,20824
아마추어,2025-04-09,728,2032,2,15899,94254
베러맨,2025-04-09,418,864,6,6336,25977
드라이브 인 타이페이,2025-04-11,475,876,5,5079,16663
출동! 왕엉덩이 히어로: 털복숭이 꼬리도적단 소탕작전,2025-04-12,167,302,10,3164,8004
야당,2025-04-16,1683,6786,1,85705,3370806
브리짓 존스의 일기: 뉴 챕터,2025-04-16,495,1010,4,3169,42312
마리아,2025-04-16,273,380,5,2933,17774
열혈검사,2025-04-16,101,213,7,1856,11955
사유리,2025-04-16,168,263,8,1811,10727
압수수색: 내란의 시작,2025-04-23,234,459,3,5455,51643
우리가 빛이라 상상하는 모든 것,2025-04-23,63,93,8,1627,7066
"극장판 뱅드림! 잇츠 마이고!!!!! 전편: 봄의 양지, 방황하는 고양이",2025-04-24,77,152,8,1518,1518
A MINECRAFT MOVIE 마인크래프트 무비,2025-04-26,1420,5821,2,185890,1355645
스노우 폭스2: 몬스터타운 구하기,2025-04-26,204,375,7,4736,35539
거룩한 밤: 데몬 헌터스,2025-04-30,932,3765,1,117030,772903
썬더볼츠＊,2025-04-30,1274,4649,2,100175,917148
파과,2025-04-30,641,1872,4,33388,543979
해피엔드,2025-04-30,103,141,6,5935,97595
시크릿쥬쥬 마법의 하모니,2025-05-01,543,831,6,12059,53231
바이러스,2025-05-07,555,1647,5,11453,68864
괴수 8호: 미션 리컨,2025-05-07,465,1056,6,6734,28833
기동전사 건담 역습의 샤아,2025-05-07,94,231,8,4493,8902
에이티즈 월드 투어 [투워즈 더 라이트 : 윌 투 파워] 인 시네마 ,2025-05-07,64,109,10,3095,3095
파이널 데스티네이션 블러드라인,2025-05-14,509,1483,4,8431,73955
"다시 만날, 조국",2025-05-14,229,372,7,3536,19208
세븐 베일즈	,2025-05-14,136,232,10,2099,2668
미션 임파서블: 파이널 레코닝,2025-05-17,2385,8835,1,423889,3380750
릴로 & 스티치,2025-05-21,765,2070,2,18329,479871
주차금지,2025-05-21,125,180,7,2520,15024
"부정선거, 신의 작품인가",2025-05-21,40,50,9,2066,30218
그리드맨 유니버스,2025-05-21,102,194,10,1608,10017
나를 모르는 그녀의 세계에서,2025-05-22,218,486,4,4635,20221
씨너스: 죄인들,2025-05-28,610,1302,3,10479,68775
페니키안 스킴,2025-05-28,339,653,5,7205,24507
미야자키 하야오: 자연의 영혼,2025-05-28,220,480,6,4265,13536
극장판 프로젝트 세카이 부서진 세카이와 전해지지 않는 미쿠의 노래,2025-05-29,158,364,3,7510,84265
하이파이브,2025-05-30,1091,3839,1,70034,1881386
소주전쟁,2025-05-30,1029,3918,3,46590,274568
기타맨,2025-05-30,73,100,10,2275,8038
신명,2025-06-02,536,1296,2,60139,779927
아마데우스 오리지널 리마스터링,2025-06-04,114,219,8,1202,9457
드래곤 길들이기,2025-06-06,1650,6706,1,223220,1769551
브링 허 백,2025-06-06,246,634,6,14950,57349
태양의 노래,2025-06-11,453,971,5,6128,19472
엘리오,2025-06-18,956,3227,1,26101,594715
탐정 키엔: 사라진 머리,2025-06-18,86,122,9,1537,9879
기빗올: 우리들의 썸머,2025-06-18,107,200,10,1152,1372
28년 후,2025-06-19,910,3363,1,56675,361365
"극장판 뱅드림! 잇츠 마이고!!!!! 후편: 노래하자, 우리가 될 수 있는 노래 & 필름 라이브",2025-06-19,76,134,8,3418,3418
퀴어,2025-06-20,235,527,7,4406,14085
F1 더 무비,2025-06-25,1665,5279,1,82917,5261209
노이즈,2025-06-25,688,1464,2,28162,1699845
쥬라기 월드: 새로운 시작,2025-07-02,1565,5814,1,151106,2194112
슈퍼맨,2025-07-09,1286,4712,1,92940,851220
괴기열차,2025-07-09,573,1085,5,12919,96873
영화 코바야시네 메이드래곤 외로움쟁이 용,2025-07-10,156,217,8,2811,9422
명탐정 코난: 척안의 잔상,2025-07-16,901,3122,1,71522,743034
킹 오브 킹스,2025-07-16,850,2076,3,37732,1302526
극장판 도라에몽: 진구의 그림이야기,2025-07-16,143,413,8,5058,81336
메간 2.0,2025-07-16,427,692,9,2905,19489
커미션,2025-07-16,127,211,10,2688,11601
이상한 집,2025-07-17,140,279,7,3731,15342
전지적 독자 시점,2025-07-23,1581,6708,1,122476,1051966
대탈출 : 더 스토리 특별판,2025-07-23,21,23,10,1583,1583
판타스틱 4: 새로운 출발,2025-07-24,1027,3964,2,72687,567810
베베핀 극장판: 사라진 베베핀과 핑크퐁 대모험,2025-07-24,423,503,8,7890,216604
좀비딸,2025-07-30,1557,6668,1,430087,5641601
배드 가이즈 2,2025-07-30,618,1080,5,41505,387768
발레리나,2025-08-06,670,2066,3,43395,316437
스머프,2025-08-06,587,948,4,15505,186276
강령: 귀신놀이,2025-08-06,201,439,7,9159,50105
야당: 익스텐디드 컷,2025-08-06,417,712,10,5215,5365
머티리얼리스트,2025-08-08,166,520,7,7585,59640
악마가 이사왔다,2025-08-13,974,3754,2,48534,436088
식스데이즈,2025-08-13,110,275,4,15344,37119
긴키 지방의 어느 장소에 대하여,2025-08-13,344,553,5,14146,269222
어글리 시스터,2025-08-20,187,413,6,5011,20414
로마의 휴일,2025-08-20,77,123,8,2319,28254
극장판 귀멸의 칼날: 무한성편,2025-08-22,2298,8510,1,517922,5809650
온리 갓 노우즈 에브리띵,2025-08-22,336,442,6,4318,23176
노바디2,2025-08-27,331,945,4,17097,53898
첫사랑 엔딩,2025-08-27,489,717,5,15615,131102
프리키 프라이데이 2,2025-08-27,416,601,8,6244,26750
그랑 메종 파리,2025-08-27,135,217,9,3098,6676
임영웅 [아임 히어로 2] 청음회,2025-08-28,57,331,2,50068,50068
컨저링: 마지막 의식,2025-09-03,843,2219,2,39581,410827
투게더,2025-09-03,251,646,5,7925,33273
살인자 리포트,2025-09-05,749,2647,3,36081,360799
홈캠,2025-09-10,260,894,5,13306,71643
건국전쟁2 ,2025-09-10,379,693,8,3405,43913
전력질주,2025-09-10,168,441,9,3229,9175
얼굴,2025-09-11,940,3368,1,35018,1067555
귀시,2025-09-17,618,1430,4,9968,63425
바로 지금 여기,2025-09-17,84,91,7,6081,7370
프랑켄슈타인 : 더 뮤지컬 라이브,2025-09-18,19,82,7,4789,50640
명탐정 코난: 17년 전의 진상,2025-09-19,245,752,3,16193,74368
어쩔수가없다,2025-09-24,2114,7378,1,331495,2925401
극장판 체인소 맨: 레제편,2025-09-24,829,2557,2,108722,3453440
파르테노페,2025-09-24,50,53,8,1228,7534
브레드이발소: 베이커리타운의 악당들,2025-09-27,368,725,5,26349,276229
바다 탐험대 옥토넛 어보브 앤 비욘드 : 콰지의 깜짝 어드벤처,2025-09-27,269,401,8,4909,14103
원 배틀 애프터 어나더,2025-10-01,601,1195,3,21492,521262
연의 편지,2025-10-01,595,1478,4,16340,210768
워킹맨,2025-10-01,173,408,7,4459,7210
그저 사고였을 뿐,2025-10-01,102,112,9,2061,25580
보스,2025-10-03,1163,5416,1,238887,2424803
개비의 매직하우스 극장판,2025-10-03,409,527,8,18734,101413
배달의 영웅 : 캐리와 슈퍼콜라2,2025-10-03,385,463,10,6864,7214
나쁜계집애: 달려라 하니,2025-10-07,487,755,9,14612,54826
트론: 아레스,2025-10-08,779,2174,4,55680,158573
웨폰,2025-10-15,524,1283,4,12011,73110
중간계,2025-10-15,229,508,7,4459,24964
극장판 주술회전: 회옥·옥절,2025-10-16,694,2206,1,32333,217899
원 인 어 밀리언,2025-10-20,35,74,4,6166,6166
8번 출구,2025-10-22,749,2639,2,31965,441742
세계의 주인,2025-10-22,358,501,9,4241,166061
에이티즈 에이 투 지 온 스크린,2025-10-23,12,24,10,1953,1953
후지모토 타츠키 17-26 파트 1,2025-10-24,20,36,10,2596,14867
퍼스트 라이드,2025-10-29,1227,4530,1,82690,737835
베이비걸,2025-10-29,157,450,7,5865,6419
지드래곤 인 시네마 [위버맨쉬],2025-10-29,86,305,10,4859,5059
말할 수 없는 비밀: 마지막 챕터,2025-10-30,158,310,7,3606,3845
신세기 에반게리온 극장판 사도신생,2025-10-31,180,349,5,7066,7066
케이팝 데몬 헌터스,2025-10-31,123,498,7,7013,39175
프레데터: 죽음의 땅,2025-11-05,952,3456,1,34746,415690
부고니아,2025-11-05,518,1143,4,9092,65526
구원자,2025-11-05,498,982,6,5939,29806
난징사진관,2025-11-05,272,358,7,4585,28800
엄마를 버리러 갑니다,2025-11-05,155,308,9,3401,17612
나우 유 씨 미 3,2025-11-12,1261,5132,1,82300,1367031
위키드: 포 굿,2025-11-19,1699,5740,1,108146,964710
국보,2025-11-19,484,802,4,9569,191245
나혼자 프린스,2025-11-19,535,1099,5,6090,52636
포레스텔라 : 더 웨이브 인 시네마,2025-11-19,23,33,8,2025,2025
주토피아 2,2025-11-26,2084,8027,1,309168,8604180
한란,2025-11-26,262,345,6,3458,18305
석류의 빛깔 ,2025-11-26,55,68,8,2983,11982
극장판 주술회전: 시부야사변 X 사멸회유,2025-12-03,733,1970,2,52366,357540
윗집 사람들,2025-12-03,752,1765,3,25425,545602
정보원,2025-12-03,766,1567,4,20726,164664
프레디의 피자가게 2,2025-12-03,571,1288,5,13096,230625
콘크리트 마켓,2025-12-03,188,344,10,3887,21784
더 러닝 맨,2025-12-10,557,1224,6,7260,34000
여행과 나날,2025-12-10,136,163,10,3786,38611
뽀로로 극장판 스위트캐슬 대모험,2025-12-11,439,631,6,6510,249736
블루 아카이브 : 디 오케스트라 인 시네마,2025-12-12,47,62,10,3774,3924
아바타: 불과 재,2025-12-17,2582,8143,1,265031,6731026
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2025-12-24,755,1855,3,63918,843211
극장판 짱구는 못말려: 초화려! 작열하는 떡잎마을 댄서즈,2025-12-24,747,1652,4,39535,476133
척의 일생,2025-12-24,167,193,7,3524,17436
코드: G 주목의 시작,2025-12-27,39,69,7,2888,7888
만약에 우리,2025-12-31,961,2734,2,110325,2594460
신의악단,2025-12-31,496,811,5,20222,1438794
화양연화 특별판,2025-12-31,174,197,7,9292,30151
누벨바그,2025-12-31,141,222,9,4051,4597
파더 마더 시스터 브라더,2025-12-31,63,68,10,3216,27131
스폰지밥 무비: 네모바지를 찾아서,2026-01-01,505,642,6,25204,81767
톰과 제리: 황금나침반 대소동,2026-01-01,406,484,8,13003,26491
굿 포츈,2026-01-07,353,496,6,6072,24026
피렌체,2026-01-07,198,239,8,3304,17124
마이 선샤인,2026-01-07,244,312,9,3012,4084
스노우 폭스 : 마법의 돌을 찾아서,2026-01-10,180,242,8,3605,7145
하트맨,2026-01-14,839,2941,3,26685,235159
"신비아파트 10주년 극장판: 한 번 더, 소환",2026-01-14,597,1033,4,23430,319083
끝이 없는 스칼렛,2026-01-14,165,322,9,3762,3762
보이,2026-01-14,145,193,10,2765,12783
프로젝트 Y,2026-01-21,781,2785,2,24398,116465
731,2026-01-21,314,492,8,6084,10172
직장상사 길들이기,2026-01-28,654,1547,3,13400,63443
시스터,2026-01-28,650,1555,5,11182,69076
하우스메이드,2026-01-28,533,915,6,9297,67329
프라이메이트,2026-01-28,502,911,7,7922,34694
극장판 총집편 걸즈 밴드 크라이 청춘광주곡,2026-01-28,130,245,10,5344,14097
왕과 사는 남자,2026-02-04,1658,6932,1,117783,16891135
"2024.12.03 그날 조작된 내란, 감춰진 진실",2026-02-04,145,229,3,16132,207669
